DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,14
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,14
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,15
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,19
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,17
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,17
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,9
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,14
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,19
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,28
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,15
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,28
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,11
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,23
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,8
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,32
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,5
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,12
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,7
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,0
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,15
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,29
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,3
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,6
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,10
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,13
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,2
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,4
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,1
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,16
BarabasiAlbert,200,5,0.03970,10.0,0,0.8,0.1,1,23
