DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,2.2,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,21
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,27
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,8
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,8
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,4,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,2.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,8
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,35
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,8
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,65
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,18
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,68
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,34
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,19
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,40
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,48
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,21
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,46
WattsStrogatz,200,5,0.03015,1.0,4.2,0.8,0,0.25,11
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,23
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,38
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,23
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,30
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,52
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,4,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,19
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,15
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,23
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,45
WattsStrogatz,200,5,0.03015,1.0,2.4,0.8,0,0.25,26
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,21
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,40
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,15
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,23
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,8
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,28
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,3
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,7
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,15
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,23
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,15
WattsStrogatz,200,5,0.03015,1.0,3.6,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,22
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,25
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,26
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,4
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,21
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,16
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,9
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.8,0.8,0,0.25,18
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,10
WattsStrogatz,200,5,0.03015,1.0,3.4,0.8,0,0.25,18
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,12
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,13
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,6
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,2.6,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,4,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,2.8,0.8,0,0.25,2
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,17
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,14
WattsStrogatz,200,5,0.03015,1.0,2.4,0.8,0,0.25,1
WattsStrogatz,200,5,0.03015,1.0,3.2,0.8,0,0.25,5
WattsStrogatz,200,5,0.03015,1.0,4,0.8,0,0.25,37
WattsStrogatz,200,5,0.03015,1.0,3,0.8,0,0.25,3
