DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,9
WattsStrogatz,200,5,0.02010,10.0,3.2,0.8,0.1,0,6
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,4
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,5
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,18
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,4
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,7
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,38
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,19
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,16
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,8
WattsStrogatz,200,5,0.02010,10.0,3.2,0.8,0.1,0,3
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,25
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,1
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,14
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,49
WattsStrogatz,200,5,0.02010,10.0,4.8,0.8,0.1,0,13
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,2
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,67
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,25
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,15
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,11
WattsStrogatz,200,5,0.02010,10.0,3,0.8,0.1,0,1
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,17
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,32
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,5
WattsStrogatz,200,5,0.02010,10.0,3.2,0.8,0.1,0,13
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,7
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,19
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,17
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,11
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,18
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,33
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,6
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,55
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,4
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,12
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,3
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,12
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,52
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,4
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,43
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,12
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,3
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,1
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,4
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,54
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,22
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,2
WattsStrogatz,200,5,0.02010,10.0,4.2,0.8,0.1,0,39
WattsStrogatz,200,5,0.02010,10.0,4,0.8,0.1,0,8
WattsStrogatz,200,5,0.02010,10.0,4.8,0.8,0.1,0,36
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,9
WattsStrogatz,200,5,0.02010,10.0,3.4,0.8,0.1,0,135
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,27
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,11
WattsStrogatz,200,5,0.02010,10.0,4.4,0.8,0.1,0,8
WattsStrogatz,200,5,0.02010,10.0,4.4,0.8,0.1,0,5
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,14
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,1
WattsStrogatz,200,5,0.02010,10.0,3,0.8,0.1,0,9
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,30
WattsStrogatz,200,5,0.02010,10.0,3.8,0.8,0.1,0,21
WattsStrogatz,200,5,0.02010,10.0,4.6,0.8,0.1,0,15
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,3
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,8
WattsStrogatz,200,5,0.02010,10.0,3.6,0.8,0.1,0,3
WattsStrogatz,200,5,0.02010,10.0,4.4,0.8,0.1,0,75
